,Beijing,Haerbin,Jinan,Rongcheng,Taiyuan,XiAn,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Xiamen
Rongcheng_老 婆,0.841,1.000,0.841,1.000,1.000,0.550,1.000,1.000,0.387,0.438,0.385,0.841,0.589,0.841,1.000,1.000,0.841,0.528,0.302
Taiyuan_老 婆,0.841,1.000,0.841,1.000,1.000,0.550,1.000,1.000,0.387,0.438,0.385,0.841,0.589,0.841,1.000,1.000,0.841,0.528,0.302
XiAn_媳 婦,0.535,0.550,0.535,0.550,0.550,1.000,0.550,0.550,0.331,0.315,0.270,0.535,0.522,0.535,0.550,0.550,0.535,0.477,0.140
Chengdu_老 婆,0.841,1.000,0.841,1.000,1.000,0.550,1.000,1.000,0.387,0.438,0.385,0.841,0.589,0.841,1.000,1.000,0.841,0.528,0.302
Nanjing_老 婆,0.841,1.000,0.841,1.000,1.000,0.550,1.000,1.000,0.387,0.438,0.385,0.841,0.589,0.841,1.000,1.000,0.841,0.528,0.302
Jixi_老 妪,0.563,0.387,0.563,0.387,0.387,0.331,0.387,0.387,1.000,0.499,0.440,0.563,0.493,0.563,0.387,0.387,0.563,0.513,0.322
Suzhou_家 主 婆,0.447,0.438,0.447,0.438,0.438,0.315,0.438,0.438,0.499,1.000,0.456,0.447,0.660,0.447,0.438,0.438,0.447,0.530,0.358
Wenzhou_老 安,0.382,0.385,0.382,0.385,0.385,0.270,0.385,0.385,0.440,0.456,1.000,0.382,0.502,0.382,0.385,0.385,0.382,0.430,0.368
Changsha_妻 子,1.000,0.841,1.000,0.841,0.841,0.535,0.841,0.841,0.563,0.447,0.382,1.000,0.531,1.000,0.841,0.841,1.000,0.583,0.324
Loudi_堂 客,0.531,0.589,0.531,0.589,0.589,0.522,0.589,0.589,0.493,0.660,0.502,0.531,1.000,0.531,0.589,0.589,0.531,0.633,0.313
Nanchang_妻 子,1.000,0.841,1.000,0.841,0.841,0.535,0.841,0.841,0.563,0.447,0.382,1.000,0.531,1.000,0.841,0.841,1.000,0.583,0.324
